,artist,FR,GB,DE,IT,ES,BE
202,Bekar,241986.0,0.0,0.0,0.0,0.0,0.0
203,"Bekar, PLK",71013.0,0.0,0.0,0.0,0.0,0.0
204,Bella Poarch,91092.0,215880.0,188888.0,0.0,0.0,35477.0
205,Benab,256861.0,0.0,0.0,0.0,0.0,0.0
206,"Benab, Imen Es",38702.0,0.0,0.0,0.0,0.0,0.0
207,"Benab, Maes",251499.0,0.0,0.0,0.0,0.0,0.0
208,"Benab, Timal",208732.0,0.0,0.0,0.0,0.0,0.0
209,"Benab, Timal, Kofs",220758.0,0.0,0.0,0.0,0.0,0.0
210,"Benab, Zed",40301.0,0.0,0.0,0.0,0.0,0.0
211,Benash,28990.0,0.0,0.0,0.0,0.0,0.0
212,"Benash, Booba",411933.0,0.0,0.0,0.0,0.0,0.0
213,"Benash, Shay, Damso",65137.0,0.0,0.0,0.0,0.0,0.0
214,Benjamin Ingrosso,39320.0,0.0,0.0,0.0,0.0,0.0
215,Benson Boone,3890588.0,7723471.0,4309728.0,1724087.0,1542080.0,1701543.0
216,"Beny Jr, Morad, K y B",249406.0,0.0,217085.0,54352.0,2886834.0,31276.0
217,Benzz,61192.0,501457.0,878554.0,0.0,0.0,33530.0
218,Beyoncé,2594628.0,8692006.0,2169698.0,591924.0,396072.0,981005.0
219,"Beyoncé, BEAM",45482.0,135563.0,0.0,0.0,0.0,14140.0
220,"Beyoncé, JAY-Z",226759.0,1188138.0,352359.0,0.0,0.0,129374.0
221,"Beyoncé, Miley Cyrus",62628.0,208332.0,98280.0,0.0,0.0,21551.0
222,Bhk220,51620.0,0.0,0.0,0.0,0.0,0.0
223,Big Boi,214655.0,0.0,0.0,0.0,0.0,0.0
224,Big Shaq,93180.0,1013654.0,602565.0,74218.0,36706.0,66261.0
225,Bigflo & Oli,1620447.0,0.0,0.0,0.0,0.0,3117.0
226,"Bigflo & Oli, JoeyStarr",21261.0,0.0,0.0,0.0,0.0,0.0
227,"Bigflo & Oli, Julien Doré",725871.0,0.0,0.0,0.0,0.0,38491.0
228,"Bigflo & Oli, Petit Biscuit",464517.0,0.0,0.0,0.0,0.0,0.0
229,"Bigflo & Oli, Vald",55934.0,0.0,0.0,0.0,0.0,0.0
230,Bilal Hassani,152298.0,0.0,0.0,0.0,0.0,0.0
231,Bill Withers,329141.0,450820.0,0.0,0.0,0.0,263852.0
232,Billie Eilish,7493781.0,32060086.0,16081063.0,5452772.0,4323500.0,4419705.0
233,"Billie Eilish, Justin Bieber",130388.0,190582.0,182024.0,0.0,35289.0,59597.0
234,"Billie Eilish, Khalid",682044.0,3254634.0,2782659.0,92540.0,121538.0,957358.0
235,"Billie Eilish, ROSALÍA",38482.0,47776.0,66535.0,0.0,81393.0,12028.0
236,Billy Idol,64518.0,0.0,0.0,0.0,0.0,0.0
237,Bing Crosby,73537.0,236254.0,0.0,0.0,0.0,0.0
238,"Bizarrap, Shakira",453452.0,103107.0,256453.0,1586658.0,2885980.0,63761.0
239,"Black Coffee, David Guetta, Delilah Montagu",28156.0,0.0,0.0,0.0,0.0,0.0
240,Black Eyed Peas,387790.0,572413.0,1562995.0,0.0,0.0,583545.0
241,"Black Eyed Peas, Daddy Yankee",444783.0,0.0,0.0,371148.0,0.0,0.0
242,"Black Eyed Peas, J Balvin",686094.0,0.0,937708.0,1149982.0,1744681.0,173449.0
243,"Black Eyed Peas, Nicky Jam, Tyga, J. Rey Soul",173905.0,0.0,0.0,0.0,0.0,0.0
244,"Black Eyed Peas, Ozuna, J. Rey Soul",910062.0,0.0,855448.0,1366630.0,663032.0,210370.0
245,"Black Eyed Peas, Shakira",1082303.0,0.0,127386.0,340874.0,165412.0,140877.0
246,"Black Eyed Peas, Shakira, David Guetta",650521.0,0.0,141327.0,607644.0,207054.0,67824.0
247,Black M,88953.0,0.0,0.0,0.0,0.0,0.0
248,"Blasterjaxx, Prezioso, LIZOT, Shibui",308178.0,0.0,0.0,0.0,0.0,0.0
249,"BlocBoy JB, Drake",178106.0,1336615.0,385023.0,88243.0,54319.0,66359.0
250,Bob Dylan,60755.0,0.0,0.0,0.0,0.0,13999.0
251,Bob Marley & The Wailers,63143.0,136454.0,0.0,0.0,0.0,0.0
252,"Bob Sinclar, Molly Hammar",35266.0,0.0,0.0,0.0,0.0,0.0
253,Bobby Helms,131644.0,3025788.0,1901297.0,392927.0,101824.0,131761.0
254,"Bon Entendeur, Isabelle Pierre",571176.0,0.0,0.0,0.0,0.0,0.0
255,Booba,12395693.0,0.0,0.0,0.0,0.0,289023.0
256,"Booba, Benash",99337.0,0.0,0.0,0.0,0.0,0.0
257,"Booba, Bramsito",56575.0,0.0,0.0,0.0,0.0,0.0
258,"Booba, Dala",50460.0,0.0,0.0,0.0,0.0,0.0
259,"Booba, Damso",689677.0,0.0,0.0,0.0,0.0,30118.0
260,"Booba, Elia",41422.0,0.0,0.0,0.0,0.0,0.0
261,"Booba, Gato",440420.0,0.0,0.0,0.0,0.0,15595.0
262,"Booba, JSX",1304035.0,0.0,0.0,0.0,0.0,55444.0
263,"Booba, Maes",163543.0,0.0,0.0,0.0,0.0,0.0
264,"Booba, Niska, Sidiki Diabaté",430987.0,0.0,0.0,0.0,0.0,15018.0
265,"Booba, SDM",2070478.0,0.0,0.0,0.0,0.0,155712.0
266,"Booba, Sfera Ebbasta",59078.0,0.0,0.0,199725.0,0.0,0.0
267,"Booba, Snight B, SDM",67458.0,0.0,0.0,0.0,0.0,0.0
268,"Booba, Zed",940882.0,0.0,0.0,0.0,0.0,35859.0
269,"Booska-P, JRK 19",237446.0,0.0,0.0,0.0,0.0,0.0
270,Boostee,238016.0,0.0,0.0,0.0,0.0,0.0
271,Boris Way,203198.0,0.0,0.0,0.0,0.0,0.0
272,"Boris Way, Shibui",374984.0,0.0,0.0,0.0,0.0,0.0
273,Bosh,2975885.0,0.0,0.0,0.0,0.0,107822.0
274,"Bosh, SCH",196898.0,0.0,0.0,0.0,0.0,0.0
275,Boulevard des Airs,68844.0,0.0,0.0,0.0,0.0,0.0
276,"Boulevard des Airs, Vianney",265180.0,0.0,0.0,0.0,0.0,0.0
277,Bouss,5449231.0,0.0,0.0,0.0,0.0,197277.0
278,BoyWithUke,93858.0,360249.0,941185.0,256455.0,135025.0,75305.0
279,Boza,93057.0,0.0,0.0,1038706.0,2641818.0,0.0
280,Bramsito,32952.0,0.0,0.0,0.0,0.0,0.0
281,"Bramsito, Booba",1105642.0,0.0,0.0,0.0,0.0,17702.0
282,"Bramsito, Maes",44121.0,0.0,0.0,0.0,0.0,0.0
283,"Bramsito, Niska",603437.0,0.0,0.0,0.0,0.0,0.0
284,"Bramsito, Soprano",37815.0,0.0,0.0,0.0,0.0,0.0
285,Brenda Lee,325864.0,4253961.0,2141126.0,293275.0,92462.0,146192.0
286,Britney Spears,178769.0,1019705.0,1437981.0,0.0,0.0,26145.0
287,Broken Back,26305.0,0.0,0.0,0.0,0.0,0.0
288,Brulux,90478.0,0.0,0.0,0.0,0.0,0.0
289,Bruno Mars,648661.0,4438974.0,864989.0,299766.0,778033.0,565350.0
290,"Bruno Mars, Anderson .Paak, Silk Sonic",450413.0,1088849.0,353282.0,134103.0,195818.0,202455.0
291,"Bruno Mars, Cardi B",92516.0,843382.0,233529.0,61590.0,121128.0,48741.0
292,"Burak Yeter, Danelle Sandoval",385258.0,0.0,1547563.0,61774.0,148315.0,47410.0
293,Burna Boy,954484.0,2582740.0,0.0,0.0,0.0,103412.0
294,"Busy P, Mayer Hawthorne",31266.0,0.0,0.0,0.0,0.0,0.0
295,CJ,632454.0,1072374.0,1144728.0,444706.0,92916.0,195505.0
296,CKay,2498351.0,1175108.0,670765.0,357228.0,309067.0,392327.0
297,"CKay, Dj Yo!, AX'EL",245714.0,169252.0,395598.0,199153.0,236986.0,40585.0
298,"CKay, ElGrandeToto",183005.0,0.0,124321.0,0.0,0.0,36990.0
299,"CNCO, Meghan Trainor, Sean Paul",143278.0,0.0,0.0,0.0,0.0,0.0
300,"CRISPIE, ILIRA",56453.0,0.0,179113.0,0.0,0.0,0.0
301,CYRIL,1428663.0,251980.0,2711776.0,125373.0,134920.0,447609.0
302,Caballero & JeanJass,406897.0,0.0,0.0,0.0,0.0,67550.0
303,"Caballero & JeanJass, Hamza",41579.0,0.0,0.0,0.0,0.0,6799.0
304,"Caballero & JeanJass, Krisy",42725.0,0.0,0.0,0.0,0.0,6610.0
305,"Caballero & JeanJass, Roméo Elvis",77069.0,0.0,0.0,0.0,0.0,10421.0
306,"Caballero & JeanJass, Sofiane",54211.0,0.0,0.0,0.0,0.0,9221.0
307,"Calema, Dj Youcef",411075.0,0.0,0.0,0.0,0.0,0.0
308,Calvin Harris,313251.0,1697253.0,387880.0,160778.0,201712.0,183700.0
309,"Calvin Harris, Disciples",59222.0,0.0,0.0,0.0,0.0,36393.0
310,"Calvin Harris, Dua Lipa",1252284.0,4541811.0,2160096.0,1165792.0,1128658.0,582246.0
311,"Calvin Harris, Dua Lipa, Young Thug",53482.0,425613.0,92797.0,112333.0,47443.0,25223.0
312,"Calvin Harris, Ellie Goulding",599119.0,2001146.0,502930.0,0.0,0.0,343428.0
313,"Calvin Harris, Frank Ocean, Migos, Funk Wav",363996.0,1578278.0,616841.0,172163.0,221046.0,102686.0
314,"Calvin Harris, Future, Khalid, Funk Wav",105103.0,362260.0,117454.0,50903.0,54919.0,19609.0
315,"Calvin Harris, Pharrell Williams, Katy Perry, Big Sean, Funk Wav",515631.0,1569347.0,601677.0,328493.0,379360.0,93384.0
