,artistName,artistId,genres,follower,popularity,famille_musicale
2656,Yaro,09E5z6upwkmwTKX8LGQgMo,['pop urbaine'],198860.0,48.0,Pop
2657,Rema,46pWGuE3dSwY3bMMXGBvVS,"['afrobeats', 'afrobeat', 'afropop', 'afropiano']",6923570.0,78.0,Reggae/World
2658,Nahir,3x3gsBtmPOSQVqdBzO7N5E,"['pop urbaine', 'moroccan rap']",178059.0,55.0,Pop
2659,SAF,6Pr9pssRV0tD0jdh2Z84td,"['pop urbaine', 'shatta']",62970.0,50.0,Pop
2660,French The Kid,4k1cMkJjG3UCRptckbpAnC,"['uk drill', 'drill', 'grime']",198063.0,56.0,Autre
2661,Ashanti,5rkVyNGXEgeUqKkB5ccK83,['r&b'],3381771.0,73.0,Autre
2662,The Wanted,2NhdGz9EDv2FeUw6udu2g1,[],2499590.0,64.0,No Genre
2663,Knucks,6W4vm8P3JFQboO4cvHeqaa,"['uk drill', 'grime', 'drill']",473803.0,65.0,Autre
2664,SL,0wY1K9SgxbaRfoFRmSR5x5,"['uk drill', 'drill', 'grime']",611276.0,59.0,Autre
2665,Cat Burns,6WFDpw4u23uSpon4BHvFRn,[],417150.0,62.0,No Genre
2666,Dreamville,1iNqsUDUraNWrj00bqssQG,[],763534.0,65.0,No Genre
2667,Aspa,1dxuhrh05CDzJtEc9qEc3N,['laïko'],82918.0,43.0,Autre
2668,ItsOnlySkillz,4QxPxixCG4JRe6P6Hr55Wo,[],24072.0,21.0,No Genre
2669,Hatemost,39MSMcTSVkk9Wy5X1Dozwp,[],25303.0,46.0,No Genre
2670,Niku Bossi,1sMZlq43h0wt6TBQZYQmXS,[],11072.0,33.0,No Genre
2671,dPans,3wz93gsh1Vj23McptGxzTm,[],11816.0,43.0,No Genre
2672,ATC Coco,4t0acKz54CB6uUA1PeB5wq,[],40071.0,46.0,No Genre
2673,Ellize,16NpduEB1MO70qblBBj3GH,['laïko'],36608.0,45.0,Autre
2674,Solmeister,24Dj1piBfpK6bL3WwIFq48,['entehno'],31362.0,47.0,Autre
2675,Kanon,1ssOY5fx4efqZ0RXZ4M3PJ,[],34546.0,41.0,No Genre
2676,Giorgos Papadopoulos,4ONfSbgDnJ1fGfSRHKPbyz,['laïko'],104839.0,41.0,Autre
2677,6363,6dglJzfnBc11OgGSZE0SVl,[],12903.0,38.0,No Genre
2678,Esti Kornél,6CKGpi9bhf2T7bapMfXl5m,[],,,No Genre
2679,Atka,4WgDaRJ6Bf8rjN7kav2gBV,[],,,No Genre
2680,Leander Kills,6n5H1tB4XabSOpWtIbtnzv,[],,,No Genre
2681,Cast of Mamma Mia! The Movie,0GSuGuz8CIQpRZdig9k9Mt,[],,,No Genre
2682,Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8,"['R&B', 'Hip-Hop', 'Pop']",,,Pop
2683,GusGus,5sL9uDMwceYHPknnCLAAwJ,[],,,No Genre
2684,Sálin hans Jóns míns,2l19aqbqP2H5aKEUYCVM9h,[],,,No Genre
2685,Séra Bjössi,2Gnn51iidR6UIRSFc8vkHF,[],,,No Genre
2686,Stuðmenn,25ekuoCP29jHKzH4PEGun6,[],,,No Genre
2687,ClubDub,5A5hVxY3BogJUch1IUcuw7,[],,,No Genre
2688,Etta Jungle,4qx8XNik3zFtPhaiIqwiMR,[],,,No Genre
2689,NASKA,4r1DHaB2yIhddOkTF92d1d,[],,,No Genre
2690,Gianni Bismark,26PZBCQnswFp61ccTrVJOa,[],,,No Genre
2691,Colapesce,2KX2VLr3Eu6sn6EtxzCtvf,[],,,No Genre
2692,Dimartino,1k3zqz5SgrYCE0wpcfJX3g,[],,,No Genre
2693,Medy,3lbFUmlaNMa9ZVSabLlkhn,[],,,No Genre
2694,Garbanotas,0jFrImCr1OMbuoNCrEYCPU,[],,,No Genre
2695,Vidas Bareikis,2hpPSRCFwK2dKOMqW4M95u,[],,,No Genre
2696,8 Kambarys,0T5UNkhytLQkUMkkAqhDzf,[],,,No Genre
2697,Monique,4zbz40hlj1xjpP8npH8A8a,[],,,No Genre
2698,Jovani,6jx9UX4W6wVbifcN8U246U,[],,,No Genre
2699,Regard,4ofCBoyEiGSePFAG500xev,[],,,No Genre
2700,DVRST,0XFgyr4jwM0MGeZZW0VzA5,"['phonk', 'drift phonk']",552429.0,63.0,Autre
2701,Furytto,53xjuOkCa7byXggNs2VZOw,[],27358.0,45.0,No Genre
2702,Prusax,0w0OJxtDe1dOnbbCRYdh3D,[],10028.0,33.0,No Genre
2703,Ods,1tyZ7Tmc3dC2eGKsEa19Ev,[],4980.0,40.0,No Genre
2704,BUSHIDO ZHO,27kGBCjiz5OXojkKX4xQ6R,[],502348.0,58.0,No Genre
2705,PHARAOH,1F8usyx5PbYGWxf0bwdXwA,[],1357493.0,60.0,No Genre
2706,Poshlaya Molly,0xByDfltDVpk6LDsUMHyI2,[],1920857.0,64.0,No Genre
2707,LA$$A,36WPIJMvnC1lSvjwMHrGAR,[],15054.0,58.0,No Genre
2708,Kempi,0FWWBkIJD4tvlDzB4O8XT7,[],72224.0,54.0,No Genre
